lon,lat,CVE_MUN,NOMGEO,ID
−99.182,19.4853,2,AZCAPOTZALCO,2
−99.15,19.3267,3,COYOACÁN,4
−99.308,19.3291,4,CUAJIMALPA DE MORELOS,5
−99.116,19.5003,5,GUSTAVO A MADERO,7
−99.094,19.3968,6,IZTACALCO,8
−99.058,19.3497,7,IZTAPALAPA,9
−99.244,19.3077,8,LA MAGDALENA CONTRERAS,10
−98.989,19.1757,9,MILPA ALTA,12
−99.227,19.3549,10,ÁLVARO OBREGÓN,1
−98.999,19.2729,11,TLÁHUAC,13
−99.198,19.2406,12,TLALPAN,14
−99.091,19.2468,13,XOCHIMILCO,16
−99.161,19.3806,14,BENITO JUÁREZ,3
−99.149,19.4312,15,CUAUHTÉMOC,6
−99.205,19.4279,16,MIGUEL HIDALGO,11
−99.093,19.4305,17,VENUSTIANO CARRANZA,15
