"lon","lat","MUN_NAME","SETT_NAME"
-99.1932755,19.34673868,"ÁLVARO OBREGÓN","SAN ANGEL"
-99.19391146,19.36064193,"ÁLVARO OBREGÓN","LOS ALPES"
-99.18718755,19.35735141,"ÁLVARO OBREGÓN","GUADALUPE INN"
-99.17535398,19.35763675,"ÁLVARO OBREGÓN","AXOTLA"
-99.18075126,19.35722688,"ÁLVARO OBREGÓN","FLORIDA"
-99.19279483,19.35595943,"ÁLVARO OBREGÓN","CAMPESTRE"
-99.2050249,19.36202031,"ÁLVARO OBREGÓN","AGUILAS SECCION HORNOS"
-99.19714821,19.35357418,"ÁLVARO OBREGÓN","TLACOPAC"
-99.18044128,19.34988073,"ÁLVARO OBREGÓN","AGRICOLA"
-99.18384158,19.34959208,"ÁLVARO OBREGÓN","GUADALUPE CHIMALISTAC"
-99.19975697,19.34779569,"ÁLVARO OBREGÓN","ALTAVISTA"
-99.19753168,19.3504188,"ÁLVARO OBREGÓN","SAN ANGEL INN"
-99.18654527,19.3444853,"ÁLVARO OBREGÓN","CHIMALISTAC"
-99.20432265,19.33491292,"ÁLVARO OBREGÓN","PROGRESO TIZAPAN"
-99.19725436,19.34277678,"ÁLVARO OBREGÓN","BATAN BARRIO VIEJO"
-99.20461228,19.33997839,"ÁLVARO OBREGÓN","PROGRESO"
-99.20262618,19.3375522,"ÁLVARO OBREGÓN","ERMITA TIZAPAN"
-99.19396678,19.337369,"ÁLVARO OBREGÓN","LORETO Y CAMPAMENTO"
-99.19261483,19.34076983,"ÁLVARO OBREGÓN","RES ANTIGUA SAN JACINTO"
-99.19727609,19.34000214,"ÁLVARO OBREGÓN","TIZAPAN"
-99.20042741,19.33487941,"ÁLVARO OBREGÓN","LA OTRA BANDA"
-99.1942669,19.34042,"ÁLVARO OBREGÓN","LORETO"
-99.202135,19.39392619,"ÁLVARO OBREGÓN","REACOMODO LOMAS DE SANTO DOMINGO"
-99.20325663,19.39134832,"ÁLVARO OBREGÓN","UNIDAD HAB LOMAS DE STO DOMINGO"
-99.2019322,19.39497705,"ÁLVARO OBREGÓN","LOMAS DE SANTO DOMINGO"
-99.20569632,19.39252892,"ÁLVARO OBREGÓN","POLVORA"
-99.20810553,19.39136473,"ÁLVARO OBREGÓN","LA CONCHITA"
-99.21294438,19.39862954,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES SECCION CUCHILLA"
-99.21789685,19.39624149,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES SECCION LOMITA"
-99.21625372,19.3954162,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES SECCION ORIENTE"
-99.21836566,19.39427621,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES SECCION PABELLONES"
-99.21896375,19.39368253,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES SECCION RANCHERIA"
-99.21364902,19.3951,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES SECCION RELLENO"
-99.21712777,19.39300052,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES SECCION TURBINA"
-99.21022697,19.39708689,"ÁLVARO OBREGÓN","EL CAPULIN"
-99.21126444,19.39913139,"ÁLVARO OBREGÓN","LAS PALMAS"
-99.21270811,19.39419329,"ÁLVARO OBREGÓN","LIBERALES DE 1857"
-99.21850856,19.39529673,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES"
-99.2147221,19.39697739,"ÁLVARO OBREGÓN","BELEN DE LAS FLORES REACOMODO"
-99.19707595,19.40062573,"ÁLVARO OBREGÓN","COVE"
-99.2081642,19.39897676,"ÁLVARO OBREGÓN","HIDALGO"
-99.20498989,19.4002516,"ÁLVARO OBREGÓN","LAS AMERICAS"
-99.2071115,19.397579,"ÁLVARO OBREGÓN","REVOLUCION"
-99.19341854,19.40246867,"ÁLVARO OBREGÓN","U SEARS ROEBUCK"
-99.20344184,19.39786781,"ÁLVARO OBREGÓN","ACUEDUCTO"
-99.20874823,19.39702627,"ÁLVARO OBREGÓN","AMPLIACION HIDALGO"
-99.23894265,19.35967886,"ÁLVARO OBREGÓN","UNIDAD HAB POPULAR TEPEACA"
-99.20201768,19.39603526,"ÁLVARO OBREGÓN","REAL DEL MONTE"
-99.20367316,19.39354478,"ÁLVARO OBREGÓN","UNIDAD HAB MOLINO SANTO DOMINGO"
-99.21242142,19.39062879,"ÁLVARO OBREGÓN","EL PARAISO"
-99.20795939,19.39413315,"ÁLVARO OBREGÓN","MOLINO DE SANTO DOMINGO"
-99.20440411,19.3957571,"ÁLVARO OBREGÓN","REACOMODO PINO SUAREZ"
-99.19814744,19.39611442,"ÁLVARO OBREGÓN","JOSE MARIA PINO SUAREZ"
-99.19309892,19.39730402,"ÁLVARO OBREGÓN","BELLAVISTA"
-99.19989809,19.39629138,"ÁLVARO OBREGÓN","CENTRAL CAMIONERA PONIENTE"
-99.19863468,19.39023134,"ÁLVARO OBREGÓN","SEDE DELEGACIONAL"
-99.19517764,19.39119679,"ÁLVARO OBREGÓN","TOLTECA"
-99.19494513,19.39400184,"ÁLVARO OBREGÓN","AMPL BOSQUES 2DA SECC"
-99.20127387,19.38899823,"ÁLVARO OBREGÓN","CRISTO REY"
-99.21217893,19.38751965,"ÁLVARO OBREGÓN","MARIA G DE GARCIA RUIZ"
-99.20218659,19.38675153,"ÁLVARO OBREGÓN","PRIMERA VICTORIA REACOMODO"
-99.19770038,19.38706615,"ÁLVARO OBREGÓN","VICTORIA 1RA SECC BOSQUES"
-99.19862559,19.39354061,"ÁLVARO OBREGÓN","BOSQUES 1RA SECC"
-99.20907238,19.38629096,"ÁLVARO OBREGÓN","ISIDRO FABELA"
-99.20547422,19.38643542,"ÁLVARO OBREGÓN","ABRAHAM GONZALEZ"
-99.20693294,19.38864738,"ÁLVARO OBREGÓN","UNIDAD HAB SANTA FE IMSS"
-99.19189797,19.38818729,"ÁLVARO OBREGÓN","SAN PEDRO DE LOS PINOS"
-99.19108845,19.39248937,"ÁLVARO OBREGÓN","8 DE AGOSTO"
-99.19502419,19.38514271,"ÁLVARO OBREGÓN","CAROLA"
-99.21655825,19.38680457,"ÁLVARO OBREGÓN","ARTURO MARTINEZ"
-99.22014822,19.38683882,"ÁLVARO OBREGÓN","PROLONGACION A MARTINEZ"
-99.22463289,19.38549776,"ÁLVARO OBREGÓN","SANTA FE INFONAVIT"
-99.22261711,19.38503842,"ÁLVARO OBREGÓN","UNIDAD HAB BELEN"
-99.2334784,19.38489782,"ÁLVARO OBREGÓN","PANTEON SANTA FE"
-99.23966625,19.38298595,"ÁLVARO OBREGÓN","SANTA FE"
-99.24027717,19.38602252,"ÁLVARO OBREGÓN","LOMAS DE SANTA FE"
-99.26370149,19.3661536,"ÁLVARO OBREGÓN","RES PARQUE SANTA FE"
-99.2564224,19.37774831,"ÁLVARO OBREGÓN","ZEDEC SANTA FE"
-99.25558229,19.37036985,"ÁLVARO OBREGÓN","CENTRO COMERCIAL LOMAS DE SANTA FE"
-99.22867849,19.39126793,"ÁLVARO OBREGÓN","INDUSTRIAS MILITARES DE SEDENA"
-99.22111677,19.38828888,"ÁLVARO OBREGÓN","COMPAÑIA DE LUZ"
-99.22562112,19.3868551,"ÁLVARO OBREGÓN","CUEVITAS"
-99.21811525,19.38818149,"ÁLVARO OBREGÓN","EL CUERNITO"
-99.21386449,19.38717122,"ÁLVARO OBREGÓN","MARTIRES DE TACUBAYA"
-99.22382253,19.38777232,"ÁLVARO OBREGÓN","REAL DEL BOSQUE"
-99.2157769,19.39070884,"ÁLVARO OBREGÓN","ZENON DELGADO"
-99.21537832,19.38621096,"ÁLVARO OBREGÓN","BONANZA"
-99.22261053,19.38818129,"ÁLVARO OBREGÓN","BOSCOSO"
-99.24214144,19.37952885,"ÁLVARO OBREGÓN","EL PIRU 2A AMPLIACION"
-99.24640068,19.37835452,"ÁLVARO OBREGÓN","GRAL ANTONIO ROSALES"
-99.23980348,19.37920412,"ÁLVARO OBREGÓN","LA HUERTA"
-99.23863187,19.37925086,"ÁLVARO OBREGÓN","LOS GAMITOS"
-99.24426893,19.37848611,"ÁLVARO OBREGÓN","TLAPECHICO"
-99.23784041,19.38009334,"ÁLVARO OBREGÓN","CAMPO DE TIRO LOS GAMITOS"
-99.24090655,19.379755,"ÁLVARO OBREGÓN","EL PIRU (SANTA FE)"
-99.23828928,19.38117502,"ÁLVARO OBREGÓN","PUEBLO NUEVO"
-99.23722076,19.38119233,"ÁLVARO OBREGÓN","LADERA GRANDE CEBADILLA"
-99.23423759,19.38219523,"ÁLVARO OBREGÓN","LOMAS DE NUEVO MEXICO"
-99.23927496,19.38161314,"ÁLVARO OBREGÓN","MARGARITA MAZA DE JUAREZ"
-99.23713427,19.37925119,"ÁLVARO OBREGÓN","TECOLALCO"
-99.23594548,19.38173856,"ÁLVARO OBREGÓN","AMPL EL ARBOL"
-99.23552071,19.38012768,"ÁLVARO OBREGÓN","EL ARBOL"
-99.23350996,19.37971254,"ÁLVARO OBREGÓN","AMPL LA CEBADA"
-99.22885791,19.38510571,"ÁLVARO OBREGÓN","ESTRELLA"
-99.24856018,19.368443,"ÁLVARO OBREGÓN","LA LOMA"
-99.23183002,19.38127266,"ÁLVARO OBREGÓN","LA MEXICANA"
-99.23203239,19.37912083,"ÁLVARO OBREGÓN","LA MEXICANA 2A AMPLIACION"
-99.22615217,19.38424324,"ÁLVARO OBREGÓN","LA PALMITA"
-99.22977802,19.38154849,"ÁLVARO OBREGÓN","LIBERACION PROLETARIA"
-99.22982327,19.38493705,"ÁLVARO OBREGÓN","1133"
-99.22799372,19.3845,"ÁLVARO OBREGÓN","AMPL LA MEXICANA"
-99.22282013,19.38269093,"ÁLVARO OBREGÓN","CALZADA DE JALALPA"
-99.22592954,19.38245217,"ÁLVARO OBREGÓN","LA CAÑADA 2DA SECC"
-99.22829077,19.38166382,"ÁLVARO OBREGÓN","LA CAÑADA"
-99.22707632,19.38135521,"ÁLVARO OBREGÓN","LA CAÑADA 1RA SECC"
-99.21210398,19.38216239,"ÁLVARO OBREGÓN","LA PRESA"
-99.21501511,19.38191292,"ÁLVARO OBREGÓN","LA PRESA SECC HORNOS"
-99.21153551,19.38037449,"ÁLVARO OBREGÓN","LAS GOLONDRINAS"
-99.21627645,19.37694544,"ÁLVARO OBREGÓN","LAS GOLONDRINAS 1RA SECC"
-99.22145344,19.37492854,"ÁLVARO OBREGÓN","LAS GOLONDRINAS 2DA SECC"
-99.21654423,19.37943065,"ÁLVARO OBREGÓN","LOMAS DE CAPULA"
-99.21201802,19.3786692,"ÁLVARO OBREGÓN","AMPL LAS GOLONDRINAS"
-99.21802848,19.38274467,"ÁLVARO OBREGÓN","EL TEJOCOTE"
-99.22286705,19.38101956,"ÁLVARO OBREGÓN","ALVARO OBREGON DESARROLLO URBANO"
-99.2196101,19.38183666,"ÁLVARO OBREGÓN","DESARROLLO URBANO EL PIRU"
-99.21663795,19.38450085,"ÁLVARO OBREGÓN","LOMAS DE BECERRA GRANADA"
-99.20867802,19.38270172,"ÁLVARO OBREGÓN","EL CUERNITO 35"
-99.20984487,19.38193323,"ÁLVARO OBREGÓN","EL POCITO"
-99.20741712,19.38467041,"ÁLVARO OBREGÓN","FRANCISCO VILLA"
-99.21262706,19.38441606,"ÁLVARO OBREGÓN","LA JOYA"
-99.20107126,19.38486503,"ÁLVARO OBREGÓN","UNIDAD HAB LOMAS DE BECERRA"
-99.20271234,19.38319708,"ÁLVARO OBREGÓN","ARVIDE"
-99.20638211,19.38249976,"ÁLVARO OBREGÓN","CUERNITO BECERRA REACOMODO"
-99.20862127,19.38035273,"ÁLVARO OBREGÓN","EL RODEO"
-99.22196981,19.3781213,"ÁLVARO OBREGÓN","PRESIDENTES"
-99.22852203,19.37917202,"ÁLVARO OBREGÓN","JALALPA"
-99.23594956,19.3761438,"ÁLVARO OBREGÓN","JALALPATEPITO"
-99.23322487,19.374665,"ÁLVARO OBREGÓN","JALAPA TEPITO 2A AMPLIACION"
-99.22953548,19.38064441,"ÁLVARO OBREGÓN","TEMPRANILLO"
-99.24641453,19.36737762,"ÁLVARO OBREGÓN","2DA AMPLIACION JALALPA EL GRANDE"
-99.23240348,19.37689617,"ÁLVARO OBREGÓN","AMPL JALALPA"
-99.22948431,19.36997726,"ÁLVARO OBREGÓN","AMPL PILOTO ADOLFO LOPEZ MATEOS"
-99.23265167,19.37154174,"ÁLVARO OBREGÓN","PILOTO ADOLFO LOPEZ MATEOS"
-99.22816885,19.37400609,"ÁLVARO OBREGÓN","2DA AMPL PRESIDENTES"
-99.22533237,19.37632829,"ÁLVARO OBREGÓN","AMPL PRESIDENTES"
-99.24657494,19.38213715,"ÁLVARO OBREGÓN","CASA DEL AGRONOMO"
-99.24477086,19.3845655,"ÁLVARO OBREGÓN","SAN GABRIEL"
-99.24998737,19.37930846,"ÁLVARO OBREGÓN","CARLOS A MADRAZO"
-99.26795495,19.37151876,"ÁLVARO OBREGÓN","FRACC PASEO DE LAS LOMAS"
-99.24522008,19.38103516,"ÁLVARO OBREGÓN","BEJERO"
-99.24096495,19.37125353,"ÁLVARO OBREGÓN","REACOMODO JALALPA EL GRANDE"
-99.25064264,19.36293476,"ÁLVARO OBREGÓN","UNIDAD HAB ANTONIO CARRILLO FLORES"
-99.25370906,19.36157746,"ÁLVARO OBREGÓN","19 DE MAYO"
-99.25757729,19.35898528,"ÁLVARO OBREGÓN","TLAYACAPA"
-99.21185921,19.3738119,"ÁLVARO OBREGÓN","PRECONCRETO"
-99.20670069,19.37501693,"ÁLVARO OBREGÓN","OLIVAR DEL CONDE 1RA SECC"
-99.20933925,19.37145489,"ÁLVARO OBREGÓN","PEZ"
-99.22445277,19.37092447,"ÁLVARO OBREGÓN","GALEANA"
-99.21648948,19.37287888,"ÁLVARO OBREGÓN","OLIVAR DEL CONDE 2DA SECC"
-99.22140144,19.3713693,"ÁLVARO OBREGÓN","OLIVAR DEL CONDE 3RA SECC"
-99.20734945,19.37862607,"ÁLVARO OBREGÓN","BARRIO NORTE"
-99.21341483,19.3758749,"ÁLVARO OBREGÓN","PALMAS"
-99.2015152,19.37975557,"ÁLVARO OBREGÓN","MINAS DE CRISTO"
-99.1966127,19.38105709,"ÁLVARO OBREGÓN","SACRAMENTO"
-99.19303501,19.38053048,"ÁLVARO OBREGÓN","SANTA MARIA NONOALCO"
-99.22639723,19.36649786,"ÁLVARO OBREGÓN","COLINAS DEL SUR"
-99.21497109,19.36952622,"ÁLVARO OBREGÓN","HOGAR Y REDENCION"
-99.21668292,19.36704186,"ÁLVARO OBREGÓN","MIXCOAC"
-99.20971206,19.3699076,"ÁLVARO OBREGÓN","U. CAÑADA DEL OLIVAR"
-99.20679891,19.36986064,"ÁLVARO OBREGÓN","AMPL HOGAR Y REDENCION"
-99.2062277,19.37124996,"ÁLVARO OBREGÓN","BATALLON DE SAN PATRICIO"
-99.19528583,19.3761535,"ÁLVARO OBREGÓN","ALFONSO XIII"
-99.20038705,19.37569722,"ÁLVARO OBREGÓN","ALFALFAR"
-99.19963374,19.37212415,"ÁLVARO OBREGÓN","MOLINO DE ROSAS"
-99.20069623,19.36768748,"ÁLVARO OBREGÓN","LOMAS DE PLATEROS"
-99.19827683,19.37078829,"ÁLVARO OBREGÓN","LA CASCADA"
-99.19370999,19.37061407,"ÁLVARO OBREGÓN","TORRES DE MIXCOAC"
-99.25247204,19.35784574,"ÁLVARO OBREGÓN","SANTA LUCIA"
-99.25058566,19.35561328,"ÁLVARO OBREGÓN","COOPERATIVA GAONA ARMENTA"
-99.25689528,19.35478442,"ÁLVARO OBREGÓN","GAONA ARMENTA"
-99.2542064,19.35286349,"ÁLVARO OBREGÓN","ARTURO GAMIZ"
-99.25880514,19.3548202,"ÁLVARO OBREGÓN","TETLALPAN"
-99.26103653,19.3548074,"ÁLVARO OBREGÓN","SANTA LUCIA REACOMODO"
-99.24006109,19.36252592,"ÁLVARO OBREGÓN","LA ARAÑA"
-99.24023832,19.36599845,"ÁLVARO OBREGÓN","LOS CEDROS"
-99.23589228,19.36504192,"ÁLVARO OBREGÓN","GARCIMARRERO"
-99.23678936,19.36952948,"ÁLVARO OBREGÓN","GARCIMARRERO NORTE"
-99.24225236,19.36465798,"ÁLVARO OBREGÓN","ESTADO DE HIDALGO"
-99.24198889,19.36254439,"ÁLVARO OBREGÓN","AMPL ESTADO DE HIDALGO"
-99.24398301,19.36128051,"ÁLVARO OBREGÓN","EL PIRU"
-99.24482917,19.36290234,"ÁLVARO OBREGÓN","EL POLITACO"
-99.24616425,19.36339242,"ÁLVARO OBREGÓN","PIRU XOCOMECATLA"
-99.24852899,19.3571291,"ÁLVARO OBREGÓN","REACOMODO CORPUS CHRISTI"
-99.24398029,19.36405237,"ÁLVARO OBREGÓN","AMPL CORPUS CHRISTI"
-99.24770733,19.36061878,"ÁLVARO OBREGÓN","CORPUS CHRISTI"
-99.25017089,19.36213098,"ÁLVARO OBREGÓN","EL CUERVO"
-99.25197806,19.36247788,"ÁLVARO OBREGÓN","TEPOPOTLA"
-99.24652868,19.36495981,"ÁLVARO OBREGÓN","CORPUS CHRISTI 2DO REACOMODO"
-99.24384508,19.35925098,"ÁLVARO OBREGÓN","ACUILOTLA"
-99.25031222,19.36443326,"ÁLVARO OBREGÓN","COOPERATIVA UNION OLIVOS"
-99.24353468,19.35644979,"ÁLVARO OBREGÓN","LLANO REDONDO"
-99.24071042,19.36083256,"ÁLVARO OBREGÓN","PUNTA DE CEGUAYO"
-99.24077554,19.35785495,"ÁLVARO OBREGÓN","BALCONES DE CEGUAYO"
-99.24235391,19.3596414,"ÁLVARO OBREGÓN","CEGUAYA"
-99.24229756,19.35540165,"ÁLVARO OBREGÓN","VILLA PROGRESISTA"
-99.245559,19.35739217,"ÁLVARO OBREGÓN","DOS RIOS"
-99.24331318,19.35812798,"ÁLVARO OBREGÓN","AMPL DOS RIOS"
-99.24721808,19.35632929,"ÁLVARO OBREGÓN","ATLAMAXAC"
-99.23362713,19.35941563,"ÁLVARO OBREGÓN","VALENTIN GOMEZ FARIAS"
-99.23402226,19.36134775,"ÁLVARO OBREGÓN","AMPL TEPEACA"
-99.23765406,19.35801913,"ÁLVARO OBREGÓN","TEPEACA"
-99.22827915,19.359535,"ÁLVARO OBREGÓN","LA PERA INFONAVIT"
-99.23665111,19.36176314,"ÁLVARO OBREGÓN","AVE REAL"
-99.22997496,19.36179869,"ÁLVARO OBREGÓN","CANUTILLO"
-99.22711448,19.36305165,"ÁLVARO OBREGÓN","PRIVADA CENTENARIO"
-99.22417538,19.36363104,"ÁLVARO OBREGÓN","CANUTILLO 3RA SECC"
-99.22566055,19.36243279,"ÁLVARO OBREGÓN","HUEYTLALE"
-99.26391462,19.34213628,"ÁLVARO OBREGÓN","EJIDO SAN MATEO"
-99.24419654,19.34762625,"ÁLVARO OBREGÓN","PARQUE TARANGO"
-99.25737593,19.34704654,"ÁLVARO OBREGÓN","BOSQUES DE TARANGO"
-99.2572861,19.35355917,"ÁLVARO OBREGÓN","DEL CEDROMILPA"
