CVE_MUN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Total,19.1,22.0,19.5,20.1,20.0,19.8,18.3,17.1,17.0,16.4,15.8,14.3,13.4,13.0,11.6,12.5,11.9
002,Azcapotzalco,16.5,19.8,20.4,19.4,22.4,21.9,21.5,13.9,16.6,14.4,14.8,13.1,13.7,9.4,11.4,9.0,12.3
003,Coyoacán,15.4,18.2,13.6,15.7,15.9,16.8,15.0,16.0,15.3,12.8,12.0,13.3,11.1,12.9,10.6,8.8,10.0
004,Cuajimalpa,20.9,23.6,24.9,19.7,15.9,23.2,17.3,14.8,21.0,15.6,15.6,12.7,13.0,13.5,14.6,10.5,9.0
005,Gustavo A. Madero,18.2,22.2,19.5,19.5,19.9,22.6,19.7,17.5,18.2,17.6,16.2,14.7,13.8,13.4,12.2,13.7,11.9
006,Iztacalco,21.5,23.2,17.3,17.3,16.9,22.1,16.9,18.0,16.7,15.7,16.5,12.4,13.1,13.7,10.4,14.3,10.6
007,Iztapalapa,18.8,21.3,19.3,18.9,18.8,18.3,16.7,17.1,15.9,15.3,16.6,14.6,13.6,12.6,11.8,14.3,12.8
008,Magdalena Contreras,17.8,14.8,17.6,16.6,20.0,12.5,16.1,16.0,13.9,16.0,11.6,14.2,12.9,9.6,12.3,7.2,11.2
009,Milpa Alta,22.4,24.6,32.1,20.6,22.0,23.0,19.9,18.4,20.7,20.1,20.3,16.4,20.1,17.9,16.2,12.9,18.4
010,Alvaro Obregón,18.7,23.5,15.5,20.2,18.2,16.3,17.6,14.9,13.9,16.6,14.0,12.3,12.9,12.3,10.2,10.7,10.0
011,Tláhuac,18.9,21.3,20.8,21.2,20.4,18.8,14.7,11.6,12.4,15.6,11.4,15.3,15.7,13.4,13.5,11.9,12.3
012,Tlalpan,17.8,20.9,17.3,17.8,20.3,15.5,17.3,14.3,14.5,14.1,13.9,11.9,9.8,10.0,8.9,10.9,9.2
013,Xochimilco,20.2,22.4,21.9,23.5,22.7,21.7,20.1,18.3,18.8,19.2,15.7,16.1,12.8,14.9,13.6,13.0,11.7
014,Benito Juárez,14.4,16.9,13.0,13.3,13.2,17.5,14.8,13.6,17.9,13.5,11.6,8.6,7.6,6.3,8.4,7.5,7.1
015,Cuauhtémoc,17.1,26.5,30.1,37.4,33.9,29.7,27.3,25.9,25.5,25.2,24.4,21.1,17.9,19.4,13.3,17.0,16.0
016,Miguel Hidalgo,34.0,33.3,23.7,20.2,20.8,23.4,23.6,22.4,19.9,19.9,19.0,14.2,17.7,18.0,13.2,16.0,16.0
017,Venustiano Carranza,23.5,22.9,21.0,23.7,20.8,21.1,20.7,21.5,22.4,16.8,19.7,18.1,13.7,13.0,11.5,13.0,13.8
