CVE_MUN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Total,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.5
002,Azcapotzalco,0.8,0.7,0.6,0.6,0.7,0.5,0.6,1.0,0.4,0.9,0.5,0.6,0.8,0.4,0.3,0.3,0.3
003,Coyoacán,0.4,0.5,0.5,0.2,0.6,0.5,0.4,0.6,0.7,0.6,0.6,0.5,0.3,0.5,0.3,0.4,0.4
004,Cuajimalpa,0.8,0.7,1.0,0.4,0.6,0.5,0.8,0.8,0.5,0.8,0.5,0.7,0.8,0.6,0.3,0.6,0.6
005,Gustavo A. Madero,0.6,0.8,0.6,0.6,0.5,0.7,0.5,0.5,0.5,0.7, 0.6,0.6,0.4,0.6,0.6,0.4,0.5
006,Iztacalco,0.7,0.5,0.7,0.5,0.5,0.6,0.5,0.7,0.6,0.9,0.8,0.5,0.5,0.6,0.2,0.7,0.1
007,Iztapalapa,0.6,0.6,0.6,0.5,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5
008,Magdalena Contreras,0.2,0.5,0.5,0.6,0.7,0.6,0.3,0.5,0.3,0.8,0.5,0.5,0.3,0.6,0.1,0.3,0.4
009,Milpa Alta,0.9,0.7,0.6,0.3,0.4,0.6,0.4,0.7,0.5,0.7,0.2,0.5,0.3,0.7,0.5,0.1,0.3                                                                                 
010,Alvaro Obregón,0.6,0.8,0.6,0.8,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.5,0.4,0.6,0.3,0.4
011,Tláhuac,0.5,0.7,0.3,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.5,0.5,0.3,0.5,0.8,0.4,0.6
012,Tlalpan,0.7,0.5,0.6,0.7,0.7,0.6,0.8,0.7,0.5,0.5,0.3,0.4,0.4,0.5,0.5,0.4,0.3
013,Xochimilco,0.6,0.4,0.7,0.8,0.8,0.7,0.4,0.7,0.5,0.4,0.6,0.5,0.6,0.3,0.4,0.5,0.7
014,Benito Juárez,0.3,0.3,0.5,0.4,0.3,0.5,0.9,0.7,0.8,0.9,0.4,0.4,0.2,0.2,0.3,0.5,0.5
015,Cuauhtémoc,0.5,0.7,0.6,0.7,0.6,0.6,0.7,0.9,0.5,0.8,0.4,0.4,0.7,0.5,0.5,0.7,0.5
016,Miguel Hidalgo,0.9,0.7,0.5,0.2,0.6,0.6,0.4,0.6,0.6,0.5,0.3,0.1,0.5,0.3,0.4,0.4,0.4
017,Venustiano Carranza,0.4,0.6,0.6,0.7,0.4,0.5,0.7,0.7,0.6,0.5,0.7,0.8,0.8,0.5,0.4,0.3,0.4
