,,,,,,,,,,,,,,,,,,,,
Clave,Nombre,Alcaldía o municipio,Entidad,id,Estatus,Latitud,Longitud,Altitud,Subred.1,RAMA.Operación,RAMA.Parámetros,Subred.2,REDMET.Operación,REDMET.Parámetros,Subred.3,REDDA.Operación,REDDA.Parámetros,Subred.4,REDMA.Operación,REDMA.Parámetros
ACO,Acolman,Acolman,Estado de México,484150020109,Activa,19.635.501,-98.912.003,2198,RAMA,2007-actual,"O3, NOX, NO2, NO, CO, SO2, PM10",REDMET,2011-actual,"VV, DV, TMP, HR, RADG",,,,,,
AJU,Ajusco,Tlalpan,CDMX,484090120400,Activa,19.154.674,-99.162.459,2953,RAMA,2015-actual,"O3, NOX, NO2, NO, PM2.5",REDMET,2015-actual,"VV, DV, TMP, HR",REDDA,1998-actual,"Depósito atmosférico, pH",,,
AJM,Ajusco Medio,Tlalpan,CDMX,484090120609,Activa,19.272.100,-99.207.658,2619,RAMA,2015-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,2015-actual,"VV, DV, TMP, HR",,,,,,
ATI,Atizapán,Atizapán de Zaragoza,Estado de México,484150130101,Activa,9.576.963,-99.254.133,2341,RAMA,1994-actual,"O3, NOX, NO2, NO, CO, SO2, PM10",,,,,,,,,
BJU,Benito Juarez,Benito Juárez,CDMX,484090140309,Activa,19.371.612,-99.158.969,2250,RAMA,2015-actua,"O3,NO2, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,2015-actual,"VV, DV, TMP, HR",,,,,,
CAM,Camarones,Azcapotzalco,CDMX,484090020301,Activa,19.468.404,-99.169.794,2233,RAMA,2003-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",,,,,,,,,
CCA,Centro de Ciencias de la Atmósfera,Coyoacán,CDMX,484090030501,Activa,193.262,-991.761,2280,RAMA,2014-actual,"O3, NOX, NO2, NO, CO, SO2, PM2.5",,,,,,,,,
TEC,Cerro del Tepeyac,Gustavo A. Madero,CDMX,484090050404,Activa,19.487.227,-99.114.229,2265,,,,,,,REDDA,1988-actual,"Depósito atmosférico, pH",,,
CHO,Chalco,Chalco,Estado de México,484150250109,Activa,19.266.948,-98.886.088,2253,RAMA,2011-actual,"O3, NOX, NO2, NO, CO, SO2, PM10",REDMET,2007-actual,"VV, DV, TMP, HR, RADG",,,,,,
COR,CORENA,Xochimilco,CDMX,484090130204,Activa,19.265.346,-9.902.604,2242,,,,,,,REDDA,1990-actual,"Depósito atmosférico, pH",,,
CUA,Cuajimalpa,Cuajimalpa de Morelos,CDMX,484090040109,Activa,19.365.313,-99.291.705,2704,RAMA,1994-actual,"O3, NOX, NO2, NO, CO, SO2, PM10",REDMET,2000-actual,"VV, DV, TMP, HR",,,,,,
