Delegacion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Azcapotzalco,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Coyoacán,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Cuajimalpa,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3
Gustavo A. Madero,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2
Iztacalco,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.1,0.3,0.2,0.2,0.4
Iztapalapa,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2
Magdalena Contreras,0.2,0.4,0.1,0.3,0.3,0.3,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2
Milpa Alta,0.4,0.3,0.1,0.5,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.1,0.2,0.3,0.3,0.3,0.1
Alvaro Obregón,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.3
Tláhuac,0.2,0.2,0.1,0.3,0.1,0.2,0.3,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2
Tlalpan,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Xochimilco,0.3,0.3,0.3,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.4
Benito Juárez,0.2,0.4,0.3,0.3,0.2,0.3,0.4,0.2,0.3,0.2,0.4,0.2,0.2,0.3,0.2,0.3,0.1
Cuauhtémoc,0.2,0.3,0.3,0.6,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.3,0.2,0.2,0.2,0.3
Miguel Hidalgo,0.4,0.3,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.4,0.3,0.3,0.3,0.1,0.2,0.2,0.2
Venustiano Carranza,0.2,0.3,0.3,0.3,0.2,0.3,0.4,0.2,0.4,0.3,0.2,0.2,0.2,0.2,0.4,0.2,0.3
