Delegacion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total,51.7,50.9,50.5,51.2,51.1,50.8,49.4,49.5,49.2,48.4,48.6,45.9,45.7,46.0,46.3,45.9,46.3
Azcapotzalco,53.1,53.7,51.4,54.5,53.0,54.8,51.0,52.3,51.5,52.0,52.9,49.2,47.9,49.4,48.8,47.5,51.1
Coyoacán,47.1,49.1,47.1,46.4,47.9,45.0,45.9,48.0,45.9,47.7,46.3,43.6,42.3,42.9,42.7,41.8,42.1
Cuajimalpa,49.7,49.1,51.5,51.5,48.8,58.8,49.9,50.2,50.7,47.1,45.4,44.5,43.2,42.5,41.8,45.4,45.2
Gustavo A. Madero,53.4,52.0,49.5,51.7,51.6,51.0,50.0,50.5,51.4,50.9,49.1,47.4,47.0,49.0,48.5,47.4,48.3
Iztacalco,50.8,50.5,47.9,51.4,49.6,49.7,48.0,47.5,48.1,49.8,48.7,48.2,47.5,43.8,50.5,50.1,48.3
Iztapalapa,49.2,48.1,48.4,48.0,47.3,48.4,48.9,49.0,49.0,46.8,45.5,43.8,43.9,44.3,45.5,44.7,44.6
Magdalena Contreras,49.8,54.0,50.8,48.1,46.7,49.4,50.3,48.8,45.6,46.8,47.9,43.8,43.7,44.0,44.8,45.6,46.0
Milpa Alta,51.2,44.2,45.1,44.6,43.6,45.3,39.8,44.9,47.3,39.0,46.1,39.2,44.2,47.0,49.8,51.8,47.3
Alvaro Obregón,51.1,49.9,51.4,51.5,50.2,49.4,51.2,47.5,48.0,47.9,46.2,45.3,44.2,44.4,45.0,43.9,44.1
Tláhuac,47.9,49.8,50.0,46.2,43.4,50.5,47.6,45.8,42.3,39.1,45.9,42.3,42.9,45.2,44.3,41.4,42.3
Tlalpan,45.9,46.5,48.0,44.0,46.0,43.8,45.6,44.5,45.2,44.4,41.8,39.0,39.2,37.7,37.8,39.2,40.7
Xochimilco,51.3,45.6,47.8,50.4,49.2,50.7,48.2,47.0,46.2,45.7,45.9,43.6,41.9,45.1,45.2,46.1,45.2
Benito Juárez,53.6,51.5,53.0,53.5,52.1,54.0,49.8,51.9,47.4,48.8,53.7,45.9,47.6,47.6,44.8,45.5,45.2
Cuauhtémoc,57.6,56.6,57.3,59.3,61.2,56.6,52.5,54.2,54.5,50.6,55.0,51.7,52.2,52.6,51.4,52.5,51.4
Miguel Hidalgo,54.2,53.3,51.9,55.1,57.4,53.9,51.2,48.7,50.6,49.8,51.9,45.7,46.9,46.8,46.5,46.1,47.6
Venustiano Carranza,53.3,51.5,52.2,52.9,53.7,53.0,51.1,52.0,52.4,49.4,53.3,51.8,52.1,50.5,51.5,49.6,52.4
