Delegacion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total,2.8,2.9,2.8,2.9,2.8,2.8,2.8,2.9,2.9,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.6
Azcapotzalco,2.9,3.0,2.9,3.0,3.1,3.1,2.9,3.3,3.3,3.4,3.4,3.6,3.6,3.4,3.6,3.7,4.1
Coyoacán,2.3,2.4,2.5,2.4,2.6,2.4,2.4,2.7,2.6,2.8,2.9,2.7,2.8,2.7,2.8,2.9,3.0
Cuajimalpa,2.6,2.3,2.3,2.2,2.4,2.1,2.4,2.4,2.1,2.5,2.4,2.3,2.6,2.3,2.5,2.5,2.8
Gustavo A.Madero,2.9,2.9,3.0,2.9,3.0,3.1,3.1,3.1,3.3,3.4,3.4,3.3,3.3,3.6,3.6,3.5,3.8
Iztacalco,2.9,3.1,3.0,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.6,3.4,3.8,3.6,3.8,3.8,4.2
Iztapalapa,2.6,2.6,2.5,2.7,2.6,2.7,2.7,2.8,2.8,3.0,3.2,2.9,3.2,3.1,3.3,3.2,3.4
Magdalena Contreras,2.9,2.9,2.8,2.6,2.5,2.8,2.7,2.5,2.4,2.8,2.9,2.8,2.6,2.8,2.7,2.8,3.3
Milpa Alta,3.0,2.6,2.4,2.6,2.3,2.4,2.3,2.5,1.8,2.7,2.5,2.5,2.7,2.6,2.8,2.6,3.1
Alvaro Obregón,2.6,2.6,2.5,2.6,2.7,2.7,2.7,2.7,2.6,2.9,2.8,2.7,2.9,3.2,3.3,3.1,3.0
Tláhuac,2.3,2.4,2.5,2.4,2.1,2.3,2.4,2.3,2.3,2.4,2.7,2.4,2.6,2.7,2.9,2.7,3.2
Tlalpan,2.2,2.3,2.2,2.3,2.2,2.4,2.4,2.3,2.5,2.6,2.4,2.4,2.5,2.4,2.6,2.7,2.8
Xochimilco,2.4,2.4,2.5,2.6,2.4,2.5,2.4,2.5,2.6,2.6,2.9,2.6,2.7,2.9,2.9,2.8,3.4
Benito Juárez,2.7,2.9,2.8,2.7,2.5,2.7,2.6,2.7,2.6,2.8,2.7,2.5,2.5,2.6,2.5,2.8,2.7
Cuauhtémoc,4.7,4.9,4.7,4.7,4.4,3.9,4.2,4.6,4.4,4.5,4.3,4.9,5.2,5.0,5.5,6.1,6.2
Miguel Hidalgo,3.0,2.9,2.8,3.1,2.9,2.9,2.8,3.0,2.9,3.0,3.3,3.0,2.9,2.7,2.9,2.8,3.0
Venustiano Carranza,3.2,3.3,3.3,3.5,3.5,3.2,3.3,3.5,3.7,3.7,3.9,3.7,3.7,4.0,4.0,3.8,4.4
